fund,ann_return,ann_vol,sharpe,max_drawdown,n_days
Combined Equal-Weight,0.14822235902113223,0.21062523685312656,0.7617516160420705,-0.28746987990265527,734
Combined Min-Variance,0.0668037918544393,0.12655062759331048,0.5742992352646384,-0.1562414096700787,734
Combined Max-Sharpe,0.1724116053895155,0.22168146680345124,0.8282250236565261,-0.27262249637185754,734
Combined Risk-Parity,0.1414838882301379,0.15868297021197386,0.9134150124904385,-0.1987431087848609,734
Equity Equal-Weight,0.13337569521051607,0.16164918683397742,0.8554427199506555,-0.20321862626913567,734
Equity Min-Variance,0.05974309886399598,0.12667150148396433,0.5214325540876977,-0.15509557531439477,734
Equity Max-Sharpe,0.09823112052190686,0.17883082789412066,0.6135014916311802,-0.27552988172768544,734
Equity Risk-Parity,0.10584317715297842,0.14590875838165218,0.7625404232081318,-0.18575887779287414,734
Crypto Equal-Weight,0.5192842546718677,0.8095162458516274,0.9258006859132144,-0.8159730614257942,1187
Crypto Min-Variance,0.868863555847244,0.6628509599164268,1.2753828433352465,-0.7112499171453642,1187
Crypto Max-Sharpe,0.13974063740690212,0.7717956927073925,0.5575359172931387,-0.8590088807022205,1187
Crypto Risk-Parity,0.5750163164604403,0.7880723197631394,0.9746031939082079,-0.7966067368198868,1187
Equity+Sentiment Tilt,0.09176956379092105,0.1812529067843418,0.5751769908794019,-0.269366658558305,734
